50
Uberlandia
Araguari
Ituiutaba
Patos_de_Minas
Uberaba
Araxá
Frutal
Iturama
Monte_Carmelo
Tupaciguara
Prata
Campina_Verde
Canápolis
Capinópolis
Centralina
Conceição_das_Alagoas
Coromandel
Douradoquara
Estrela_do_Sul
Grupiara
Gurinhatã
Ibiá
Indianópolis
Ipiaçu
Iraí_de_Minas
Itapagipe
Ituiutaba
Limeira_do_Oeste
Monte_Alegre_de_Minas
Nova_Ponte
Pirajuba
Planura
Pratinha
Romaria
Sacramento
Santa_Juliana
Santa_Vitória
São_Francisco_de_Sales
Tapira
Veríssimo
Água_Comprida
Campo_Florido
Carneirinho
Comendador_Gomes
Conquista
Delta
Fronteira
Iturama
Pedrinópolis
Perdizes
75
0,1,50
0,2,70
1,3,60
1,4,80
2,5,90
3,6,40
4,7,30
5,8,20
6,9,10
7,10,50
8,11,40
9,12,30
10,13,20
11,14,70
12,15,50
13,16,60
14,17,90
15,18,80
16,19,30
17,20,20
18,21,40
19,22,50
20,23,60
21,24,70
22,25,80
23,26,90
24,27,40
25,28,30
26,29,20
27,30,10
28,31,60
29,32,50
30,33,40
31,34,30
32,35,20
33,36,10
34,37,50
35,38,40
36,39,30
37,40,20
38,41,10
39,42,70
40,43,60
41,44,50
42,45,40
43,46,30
44,47,20
45,48,10
46,49,50
47,48,45
48,49,55
47,49,35
0,6,120
4,9,15
8,16,45
20,35,75
24,34,60
19,29,85
30,45,90
33,43,25
34,44,15
38,49,40
