50
Uberlandia
Araguari
Ituiutaba
Patos_de_Minas
Uberaba
Araxá
Frutal
Iturama
Monte_Carmelo
Tupaciguara
Prata
Campina_Verde
Canápolis
Capinópolis
Centralina
Conceição_das_Alagoas
Coromandel
Douradoquara
Estrela_do_Sul
Grupiara
Gurinhatã
Ibiá
Indianópolis
Ipiaçu
Iraí_de_Minas
Itapagipe
Ituiutaba
Limeira_do_Oeste
Monte_Alegre_de_Minas
Nova_Ponte
Pirajuba
Planura
Pratinha
Romaria
Sacramento
Santa_Juliana
Santa_Vitória
São_Francisco_de_Sales
Tapira
Veríssimo
Água_Comprida
Campo_Florido
Carneirinho
Comendador_Gomes
Conquista
Delta
Fronteira
Iturama
Pedrinópolis
Perdizes
75
0,1,50
1,2,70
2,3,60
3,4,80
4,5,90
5,6,40
6,7,30
7,8,20
8,9,10
9,10,50
10,11,40
11,12,30
12,13,20
13,14,70
14,15,50
15,16,60
16,17,90
17,18,80
18,19,30
19,20,20
20,21,40
21,22,50
22,23,60
23,24,70
24,25,80
25,26,90
26,27,40
27,28,30
28,29,20
29,30,10
30,31,60
31,32,50
32,33,40
33,34,30
34,35,20
35,36,10
36,37,50
37,38,40
38,39,30
39,40,20
40,41,10
41,42,70
42,43,60
43,44,50
44,45,40
45,46,30
46,47,20
47,48,10
48,49,50
49,0,35 
1,4,15   
3,1,25  
9,6,55   
15,10,65 
20,17,75 
